lead_id,company,segment,country,website,source_url,contact_page,contact_name,contact_role,contact_email,linkedin_url,public_signal,pain_guess,service_angle,score,status,last_touch_date,next_followup_date,next_action,custom_opening_line,outreach_subject,outreach_message,reply_summary,quoted_price,notes
L0101,Startup Hub - Design & Technology LLC,Shopify agency,United States,https://www.shopify.com/partners/directory/partner/home-based-ecommerce-2,https://www.shopify.com/partners/directory/partner/home-based-ecommerce-2,https://www.shopify.com/partners/directory/partner/home-based-ecommerce-2,,,startuphubtexas@gmail.com,,"Shopify profile lists product and collection setup, inventory management, store migration, APIs and GraphQL.","May need async support for product uploads, catalog cleanup, variants, and migration data prep.",Shopify product data cleanup,86,contacted,2026-06-03,2026-06-06,Follow up if no reply,I saw your Shopify profile mentions product and collection setup plus migration work.,,,,,High fit: small/medium Shopify service profile with low starting project prices and direct email.
L0102,StoreMindz,Shopify agency,United States,https://storemindz.com,https://www.shopify.com/partners/directory/partner/store-mindz,https://storemindz.com,Abdul,,info@storemindz.com,,"Shopify profile highlights migration, redesign, product and collection setup, app and script review, and mobile performance boost.",May have overflow product catalog cleanup or small script review tasks from migration/redesign projects.,Shopify product data cleanup,84,contacted,2026-06-03,2026-06-06,Follow up if no reply,I saw StoreMindz handles Shopify migrations and also mentions app and script review.,,,,,Good fit: service mix overlaps with small implementation tasks.
L0103,Ruby Digital Agency,Shopify agency,United States,https://rubydigitalagency.com,https://www.shopify.com/partners/directory/partner/ruby-digital-agency,https://rubydigitalagency.com,,,lance@rubydigitalagency.com,,"Shopify profile says they build and migrate Shopify stores with complex replatforming, custom themes, and performance tuning.",Complex replatforming often needs data normalization and import QA before/after migration.,Shopify migration data cleanup,79,not_contacted,,,Review and personalize before sending,I saw Ruby Digital focuses on complex Shopify replatforming and store migration.,,,,,Good fit for data-prep angle; likely higher standards.
L0104,Migraciones.io,Shopify agency,Spain,https://migraciones.io,https://www.shopify.com/partners/directory/partner/migraciones-io,https://migraciones.io,,,info@migraciones.io,,"Shopify profile focuses on migrations with large SKU volumes, SEO preservation, ERP/B2B integrations, and product/customer/order transfers.",Large SKU migrations and ERP integrations create cleanup and validation workload.,Shopify migration data cleanup,82,contacted,2026-06-03,2026-06-06,Follow up if no reply,I saw Migraciones.io specializes in Shopify migrations with large SKU volumes and ERP/B2B integrations.,,,,,Strong pain signal; multilingual agency.
L0105,GTL Digital Technologies,Shopify agency,United Kingdom,https://gtlofficial.com,https://www.shopify.com/partners/directory/partner/rtechnologies,https://gtlofficial.com,,,info@gtlofficial.com,,"Shopify profile mentions custom development, app integration, Shopify Plus, CRO, store migrations, and importing products/design/data.","Could need support for migration input cleanup, product data QA, or app/API helper scripts.",Shopify/API implementation support,78,not_contacted,,,Review and personalize before sending,"I saw GTL works on Shopify migrations, app integration, and importing store product data.",,,,,Good angle: async helper for migration data and API support.
L0106,Storefix.co,Shopify agency,United States,https://storefix.co,https://www.shopify.com/partners/directory/partner/open-shopify,https://storefix.co,,,hello@storefix.co,,"Shopify profile says 900+ migrations, 1200+ store builds/redesigns, adding products, organizing products, and store setup.",High project volume may create overflow for product data cleanup and import-ready CSV preparation.,Shopify product data cleanup,76,not_contacted,,,Review and personalize before sending,I saw Storefix has completed many Shopify migrations and store builds including product organization.,,,,,High volume; may have established process but worth testing.
L0107,SLASHCART,Shopify agency,United Kingdom,https://slashcart.com,https://www.shopify.com/partners/directory/partner/slashcart,https://slashcart.com,,,support@slashcart.com,,"Shopify profile focuses on store migration and notes products, customers, orders, reviews, URL redirects, shipping and tax setup.",Migration work includes structured data movement and validation; possible cleanup/QA overflow.,Shopify migration data cleanup,75,not_contacted,,,Review and personalize before sending,"I saw SLASHCART specializes in Shopify migrations that include products, customers, orders, and reviews.",,,,,Good migration-data angle.
L0108,ECOMZIER LLC,Shopify agency,United States,https://ecomzier.com,https://www.shopify.com/partners/directory/partner/ecomzier,https://ecomzier.com,,,info@ecomzier.com,,"Shopify profile mentions Shopify Plus solutions, complex custom migrations, B2B/wholesale, POS migration, custom apps and integrations.",Complex B2B and POS migrations can require data cleanup and integration helper work.,Shopify data migration support,70,not_contacted,,,Review and personalize before sending,"I saw ECOMZIER works on complex Shopify migrations including B2B, wholesale, and POS data.",,,,,Potential fit but may be larger/more established.
L0109,Nex Automations,Make/Zapier automation consultant,India,https://nex-automations.com,https://www.make.com/en/partners-directory/nexautomations,https://www.make.com/en/partners-directory/nexautomations,Prem Patel,Founder,,,"Make profile says Nex Automations builds Make/Zapier AI systems, CRM automation, lead management, ecommerce operations, reporting dashboards, data extraction, webhooks, and API integrations.","Automation consultants may need async dev support for data cleaning, webhook helpers, API scripts, and handoff notes.",API scripts and data cleanup,86,not_contacted,,,Review and personalize before sending,"I saw Nex Automations works across Make, Zapier, Shopify, Airtable, Google Sheets, webhooks, and API integrations.",,,,,Very strong overlap with our offer.
L0110,Operative,Make automation consultant,Netherlands,https://operative.pro/contact,https://www.make.com/en/partners-directory/operative,https://operative.pro/contact,,,,,"Make profile says Operative develops websites/web apps, connects systems, automates processes, and has API integration experience across Webflow, WooCommerce, Shopify, Airtable, Typeform and Stripe.",May need API/webhook implementation and data-prep help for client automations.,API scripts and webhook helpers,81,not_contacted,,,Review and personalize before sending,"I saw Operative works on Make automations and custom API integrations across Shopify, Webflow, Airtable, Typeform, and Stripe.",,,,,Good fit; contact URL is explicit.
